n_alt,n_crit,kappa_max,kappa_min,nu,log_nu,delta_w,tau_wsm,rho_wsm,identical_wsm,tau_topsis,rho_topsis,identical_topsis,tau_topsis_minmax,rho_topsis_minmax,identical_topsis_minmax
8,4,0.4050250355616495,0.07537237599731443,5.373653546104307,0.7302696628665194,0.23677431895689005,0.6428571428571429,0.8095238095238095,False,0.42857142857142855,0.5238095238095238,False,0.7857142857142857,0.9047619047619048,False
6,5,0.5317211736780223,0.0892411506769731,5.958250982181297,0.7751187932530813,0.3228294303363373,0.4666666666666667,0.5428571428571429,False,0.3333333333333333,0.37142857142857144,False,1.0,1.0,True
4,5,0.5203826822422447,0.05900374332070219,8.819485899479238,0.9454432702195092,0.21757751741633005,0.6666666666666666,0.8,False,0.0,0.19999999999999996,False,1.0,1.0,True
6,4,0.6020019282590324,0.08719340407536563,6.904214081741639,0.8391142492595295,0.2181731092329704,0.6,0.7142857142857143,False,0.6,0.7142857142857143,False,0.8666666666666667,0.9428571428571428,False
5,5,0.6048757628850028,0.12945391875342813,4.672517979408887,0.6695509811783271,0.285268993571873,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
5,3,0.4112309688495221,0.24547520538051248,1.6752444232010946,0.22407818086730313,0.07884131594167439,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
4,5,0.9327659975946933,0.3767953819647013,2.475523964037331,0.39366713482779486,0.1001501183599639,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
8,4,0.33064908075884514,0.17838325324451468,1.8535881297318983,0.2680132395948011,0.06677886950907132,0.7857142857142857,0.9047619047619048,False,0.5714285714285714,0.6190476190476191,False,0.7142857142857143,0.7619047619047619,False
8,5,0.3981746661207637,0.1818621449196984,2.189431265612693,0.34033131562374336,0.03609720544729052,1.0,1.0,True,0.9285714285714286,0.9761904761904762,False,1.0,1.0,True
5,3,0.16218650849433555,0.11567318040249844,1.4021098748092375,0.14678204797701488,0.0597524333294249,0.8,0.9,False,0.8,0.9,False,0.8,0.9,False
4,4,0.798637454350684,0.1768503635108317,4.515893767429284,0.6547437169637553,0.3161099209049564,0.3333333333333333,0.4,False,0.3333333333333333,0.4,False,1.0,1.0,True
4,4,0.14923959463430206,0.05012250307441966,2.9774968422814054,0.4738513095736268,0.18218060789088358,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
4,5,0.1672070314004385,0.003750249677222465,44.58557316100909,1.649194354000502,0.5666365619681611,0.0,0.0,False,0.0,0.0,False,1.0,1.0,True
4,3,0.7868468945917347,0.21363639038601434,3.683112662436944,0.566215003657068,0.24161367181446833,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False,1.0,1.0,True
8,3,0.7730942725036015,0.2730470903712794,2.8313587647081135,0.4519949028024807,0.17773220968676012,0.9285714285714286,0.9761904761904762,False,1.0,1.0,True,0.9285714285714286,0.9761904761904762,False
6,3,0.080731489112363,0.04240069167277722,1.904013494248999,0.2796700220196269,0.15212927747962812,0.8666666666666667,0.9428571428571428,False,0.8666666666666667,0.9428571428571428,False,1.0,1.0,True
5,5,0.08612756266321468,0.01086225114334122,7.929071195162297,0.8992223174007875,0.08346811242249924,1.0,1.0,True,0.8,0.9,False,1.0,1.0,True
10,3,0.4744831516541323,0.2861692688870289,1.6580506827229797,0.21959780178150365,0.10589027411504683,0.9111111111111111,0.9757575757575757,False,0.8666666666666667,0.9393939393939394,False,0.9555555555555556,0.9878787878787879,False
5,3,0.6075359223015953,0.4510782981431809,1.3468524750605602,0.12932002870304,0.0594090188952664,0.8,0.9,False,1.0,1.0,True,1.0,1.0,True
10,3,0.34379611710843405,0.02460795984257851,13.970931328472087,1.1452253579634715,0.18201026735176773,0.9111111111111111,0.9757575757575757,False,0.8666666666666667,0.9636363636363636,False,0.8666666666666667,0.9515151515151515,False
